base_dados,metodo,acuracia,fpr,sensitividade,especificidade,precisao,F-medida,mcc,sensitividadeMacro,precisaoMacro,F-medidaMacro,sensitividadeMicro,precisaoMicro,F-medidaMicro,kappa,tempo
blogspam,Perceptron,0.850,0.211,0.879,0.789,0.897,0.888,0.661,0.834,0.827,0.831,0.850,0.850,0.850,0.661,2.013
blogspam,ALMA,0.847,0.201,0.870,0.799,0.900,0.885,0.658,0.835,0.824,0.829,0.847,0.847,0.847,0.657,2.173
blogspam,OGD,0.843,0.175,0.852,0.825,0.912,0.880,0.660,0.838,0.822,0.830,0.843,0.843,0.843,0.653,3.103
blogspam,ROMMA,0.837,0.219,0.863,0.781,0.892,0.877,0.635,0.822,0.812,0.817,0.837,0.837,0.837,0.634,2.143
reviewspam,Perceptron,0.847,0.163,0.857,0.837,0.840,0.848,0.694,0.847,0.847,0.847,0.847,0.847,0.847,0.694,3.956
reviewspam,ALMA,0.836,0.170,0.842,0.830,0.832,0.837,0.671,0.836,0.836,0.836,0.836,0.836,0.836,0.671,4.314
reviewspam,ROMMA,0.829,0.175,0.833,0.825,0.826,0.830,0.658,0.829,0.829,0.829,0.829,0.829,0.829,0.658,4.185
reviewspam,OGD,0.740,0.415,0.895,0.585,0.718,0.775,0.539,0.740,0.809,0.772,0.740,0.740,0.740,0.480,6.112
sms,ROMMA,0.966,0.026,0.914,0.974,0.843,0.877,0.858,0.944,0.915,0.929,0.966,0.966,0.966,0.857,15.917
sms,ALMA,0.963,0.016,0.823,0.984,0.892,0.856,0.836,0.904,0.932,0.918,0.963,0.963,0.963,0.835,15.905
sms,Perceptron,0.935,0.005,0.543,0.995,0.944,0.690,0.688,0.769,0.939,0.846,0.935,0.935,0.935,0.656,16.088
sms,OGD,0.889,0.003,0.186,0.997,0.910,0.308,0.381,0.592,0.899,0.713,0.889,0.889,0.889,0.275,22.270
youtube-eminem,ROMMA,0.883,0.180,0.936,0.820,0.863,0.898,0.766,0.878,0.888,0.883,0.883,0.883,0.883,0.763,0.442
youtube-eminem,ALMA,0.882,0.197,0.948,0.803,0.854,0.898,0.766,0.876,0.890,0.883,0.882,0.882,0.882,0.760,0.447
youtube-eminem,Perceptron,0.874,0.237,0.965,0.763,0.832,0.894,0.754,0.865,0.890,0.877,0.874,0.874,0.874,0.742,0.432
youtube-eminem,OGD,0.830,0.360,0.987,0.640,0.769,0.864,0.684,0.814,0.873,0.842,0.830,0.830,0.830,0.646,0.673
youtube-katyperry,Perceptron,0.884,0.144,0.912,0.856,0.864,0.887,0.770,0.884,0.885,0.885,0.884,0.884,0.884,0.768,0.336
youtube-katyperry,ALMA,0.883,0.146,0.912,0.854,0.863,0.886,0.768,0.883,0.884,0.884,0.883,0.883,0.883,0.766,0.353
youtube-katyperry,ROMMA,0.876,0.163,0.914,0.837,0.849,0.881,0.754,0.876,0.878,0.877,0.876,0.876,0.876,0.752,0.332
