degrees_freedom,p=0.005,p=0.01,p=0.025,p=0.05,p=0.1,p=0.9,p=0.95,p=0.975,p=0.99,p=0.995,p=0.999
1,0.039,0.016,0.098,0.039,0.016,2.710,3.840,5.020,6.630,7.880,10.830
2,0.010,0.020,0.051,0.103,0.211,4.610,5.990,7.380,9.210,10.600,13.820
3,0.072,0.115,0.216,0.352,0.584,6.250,7.810,9.350,11.340,12.840,16.270
4,0.021,0.297,0.484,0.711,1.064,7.780,9.490,11.140,13.280,14.860,18.470
5,0.412,0.554,0.831,1.145,1.610,9.240,11.070,12.830,15.090,16.750,20.520
6,0.676,0.872,1.240,1.640,2.200,10.640,12.590,14.450,16.810,18.550,22.460
7,0.989,1.240,1.690,2.170,2.830,12.020,14.070,16.010,18.480,20.280,24.320
8,1.340,1.650,2.180,2.730,3.490,13.360,15.510,17.530,20.090,21.960,26.130
9,1.730,2.090,2.700,3.330,4.170,14.680,16.920,19.020,21.670,23.590,27.880
10,2.160,2.560,3.250,3.940,4.870,15.990,18.310,20.480,23.210,25.190,29.590
11,2.600,3.050,3.820,4.570,5.580,17.280,19.680,21.920,24.720,26.760,31.260
12,3.070,3.570,4.400,5.230,6.300,18.550,21.030,23.340,26.220,28.300,32.910
13,3.570,4.110,5.010,5.890,7.040,19.810,22.360,24.740,27.690,29.820,34.530
14,4.070,4.660,5.630,6.570,7.790,21.060,23.680,26.120,29.140,31.320,36.120
15,4.600,5.230,6.260,7.260,8.550,22.310,25.000,27.490,30.580,32.800,37.700
16,5.140,5.810,6.910,7.960,9.310,23.540,26.300,28.850,32.000,34.270,39.250
17,5.700,6.410,7.560,8.670,10.090,24.770,27.590,30.190,33.410,35.720,40.790
18,6.260,7.010,8.230,9.390,10.860,25.990,28.870,31.530,34.810,37.160,42.310
19,6.840,7.630,8.910,10.120,11.650,27.200,30.140,32.850,36.190,38.580,43.820
20,7.430,8.260,8.590,10.850,12.440,28.410,31.410,34.170,37.570,40.000,43.320
21,8.030,8.900,10.280,11.590,13.240,29.620,32.670,35.480,38.930,41.400,46.800
22,8.640,9.540,10.980,12.340,14.040,30.810,33.920,36.780,40.290,42.800,48.270
23,9.260,10.200,11.690,13.090,14.850,32.010,35.170,38.080,41.640,44.180,49.730
24,9.890,10.860,12.400,13.850,15.660,33.200,36.420,39.360,42.980,45.560,51.180
25,10.520,11.520,13.120,14.610,16.470,34.380,37.650,40.650,44.310,46.930,52.620
26,11.160,12.200,13.840,15.380,17.290,35.560,38.890,41.920,45.640,48.290,54.050
27,11.810,12.880,14.570,16.150,18.110,36.740,40.110,43.190,46.960,49.640,55.480
28,12.460,13.560,15.310,16.930,18.940,37.920,41.340,44.460,48.280,50.990,56.890
29,13.210,14.260,16.050,17.710,19.770,39.090,42.560,45.720,49.590,52.340,58.300
30,13.790,14.950,16.790,18.490,20.600,40.260,43.770,46.980,50.890,53.670,59.700
31,20.710,22.160,24.430,26.510,29.050,51.800,55.760,59.340,63.690,66.770,73.400
32,27.990,29.710,32.360,34.760,37.690,63.170,67.500,71.420,76.150,79.490,86.660
33,35.530,37.480,40.480,43.190,46.460,74.400,79.080,83.300,88.380,91.950,99.610
34,43.280,45.440,48.760,51.740,55.330,85.530,90.530,95.020,100.430,104.220,112.320
35,51.170,53.540,57.150,60.390,64.280,96.580,101.880,106.630,112.330,116.320,124.840
36,59.200,61.750,65.650,69.130,73.290,107.560,113.150,118.140,124.120,128.300,137.210
37,67.330,70.060,74.220,77.930,82.360,118.500,124.340,129.560,135.810,140.170,149.450
